検査日,2018/12/10
開始時刻,8:13:25,終了時刻,9:37:00
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1076.0
検査開始位置[mm],139.7,検査終了位置[mm],1215.7
列数,4
周長[mm],450.0,2逓倍,0
検査距離[m],4872.8
照明設定,No.1,ON ,65,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,15,サイズ[mmsq.],1.30
,面比較,色差,22,サイズ[mmsq.],1.30
,スジ検出,色差,40,サイズ[mmsq.],2.60
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,394
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
306,1,408.9,4271.4, 0.7,軽欠点,-,,
307,5,387.6,4271.5, 1.0,軽欠点,-,,
308,1,927.1,4272.3, 1.1,軽欠点,-,,
309,1,916.4,4272.6, 0.8,軽欠点,-,,
310,2,387.6,4273.4, 1.0,軽欠点,-,,
311,1,387.6,4273.8, 1.6,中欠点,-,,
312,1,366.2,4274.3, 0.8,軽欠点,-,,
313,3,387.6,4274.7, 0.8,軽欠点,-,,
314,1,1183.0,4275.3, 0.8,軽欠点,-,,
315,4,1183.0,4275.8, 0.7,軽欠点,-,,
316,1,387.6,4276.8, 1.2,軽欠点,-,,
317,1,927.1,4277.7, 0.7,軽欠点,-,,
318,4,1183.0,4278.0, 0.7,軽欠点,-,,
319,2,376.9,4278.4, 1.0,軽欠点,-,,
320,1,376.9,4279.0, 1.1,軽欠点,-,,
321,1,398.2,4279.5, 0.9,軽欠点,-,,
322,3,1193.7,4279.9, 0.9,軽欠点,-,,
323,1,387.6,4280.9, 1.8,軽欠点,-,,
324,2,376.9,4281.0, 1.1,軽欠点,-,,
325,2,387.6,4281.5, 1.1,軽欠点,-,,
326,2,398.2,4282.0, 1.3,軽欠点,-,,
327,2,408.9,4282.3, 1.1,軽欠点,-,,
328,2,376.9,4282.8, 1.4,軽欠点,-,,
329,3,1204.4,4283.4, 0.8,軽欠点,-,,
330,1,387.6,4283.9, 1.2,軽欠点,-,,
331,4,376.9,4284.0, 0.8,軽欠点,-,,
332,1,387.6,4284.9, 1.0,軽欠点,-,,
333,1,387.6,4285.3, 1.2,軽欠点,-,,
334,3,376.9,4285.5, 1.1,軽欠点,-,,
335,1,217.0,4286.0, 1.1,軽欠点,-,,
336,2,387.6,4286.5, 0.8,軽欠点,-,,
337,2,227.6,4287.0, 0.9,軽欠点,-,,
338,1,376.9,4287.4, 1.0,軽欠点,-,,
339,2,376.9,4287.8, 1.4,軽欠点,-,,
340,2,387.6,4288.5, 1.2,軽欠点,-,,
341,2,248.9,4288.5, 0.7,軽欠点,-,,
342,3,376.9,4289.4, 2.0,軽欠点,-,,
343,1,217.0,4289.5, 1.4,軽欠点,-,,
344,2,387.6,4290.1, 0.9,軽欠点,-,,
345,1,387.6,4290.6, 0.8,軽欠点,-,,
346,2,398.2,4290.9, 4.4,スジ欠点,-,,
347,1,376.9,4291.6, 0.9,軽欠点,-,,
348,2,398.2,4291.9, 1.8,軽欠点,-,,
349,3,376.9,4292.3, 0.9,軽欠点,-,,
350,1,387.6,4292.7, 1.2,軽欠点,-,,
351,1,387.6,4293.5, 0.7,軽欠点,-,,
352,2,387.6,4293.7, 1.9,軽欠点,-,,
353,2,515.5,4294.5, 1.6,軽欠点,-,,
354,1,1204.4,4295.2, 0.7,軽欠点,-,,
355,1,227.6,4295.3, 0.9,軽欠点,-,,
356,1,408.9,4295.9, 1.0,軽欠点,-,,
357,1,376.9,4296.5, 1.1,軽欠点,-,,
358,1,398.2,4297.2, 1.3,軽欠点,-,,
359,1,387.6,4297.8, 0.9,軽欠点,-,,
360,2,387.6,4298.1, 0.9,軽欠点,-,,
361,2,387.6,4299.6, 0.9,軽欠点,-,,
362,1,398.2,4300.1, 0.8,軽欠点,-,,
363,1,387.6,4300.5, 0.7,軽欠点,-,,
364,1,654.2,4301.7, 0.7,軽欠点,-,,
365,1,387.6,4303.8, 1.0,軽欠点,-,,
366,2,387.6,4304.8, 0.7,軽欠点,-,,
367,1,387.6,4306.6, 0.9,軽欠点,-,,
368,3,376.9,4307.6, 1.1,軽欠点,-,,
369,1,376.9,4309.5, 0.7,軽欠点,-,,
